"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"COD1300805",36.902,0,36.902
"COD1300839",0,0,0
"COD1300904",13.2268,0,13.2268
"COD1301001",27.4262,0,27.4262
"COD1301100",2.6426,0,2.6426
"COD1301159",8.0767,0,8.0767
"COD1301209",0.2212,0,0.2212
"COD1301308",0,0,0
"COD1301407",51.3225,0,51.3225
"COD1301506",10.2955,0,10.2955
"COD1301605",3.292,0,3.292
"COD1301654",4.0862,0,4.0862
"COD1301704",41.8877,0,41.8877
"COD1301803",18.1051,0,18.1051
"COD1301852",0,0,0
"COD1301902",3.6983,0,3.6983
"COD1301951",60.2173,0,60.2173
"COD1302009",0,0,0
"COD1302108",30.8669,0,30.8669
"COD1302207",11.0622,0,11.0622
"COD1302306",24.6003,0,24.6003
"COD1302405",22.8041,0,22.8041
"COD1302504",0.7992,0,0.7992
"COD1302553",3.5655,0,3.5655
"COD1302603",0,0,0
"COD1302702",16.7496,0,16.7496
"COD1302801",4.1335,0,4.1335
"COD1302900",3.288,0,3.288
"COD1303007",38.5027,0,38.5027
"COD1303106",0,0,0
"COD1303205",26.7943,0,26.7943
"COD1303304",3.317,0,3.317
"COD1303403",4.3235,0,4.3235
"COD1303502",27.4216,0,27.4216
"COD1303536",31.6271,0,31.6271
"COD1303569",0,0,0
"COD1303601",57.6758,0.1,57.5758
"COD1303700",22.3395,0,22.3395
"COD1303809",90.9543,0,90.9543
"COD1303908",48.1496,0,48.1496
"COD1303957",0,0,0
"COD1304005",0,0,0
"COD1304062",90.065,0,90.065
"COD1304104",20.1939,0,20.1939
"COD1304203",0.0798,0,0.0798
"COD1304237",41.8581,0,41.8581
"COD1304260",2.7886,0,2.7886
"COD1304302",44.5698,0,44.5698
"COD1304401",0,0,0
"COD1400027",60.499,0.9746,59.5244
"COD1400050",75.2775,0.1757,75.1018
"COD1400100",24.8399,0,24.8399
"COD1400159",21.1119,0,21.1119
"COD1400175",7.1784,0,7.1784
"COD1400209",16.2564,0,16.2564
"COD1400233",54.4561,0,54.4561
"COD1400282",72.8255,0.0581,72.7674
"COD1400308",58.3473,0,58.3473
"COD1400407",96.6273,0,96.6273
"COD1400456",98.3389,0.0777,98.2612
"COD1400472",20.78,0,20.78
"COD1400506",47.7156,0,47.7156
"COD1400605",0,0,0
"COD1400704",99.9122,0.1474,99.7648
"COD1500107",0,0,0
"COD1500131",0,0,0
"COD1500206",0,0,0
"COD1500305",0,0,0
"COD1500347",22.0715,0,22.0715
"COD1500404",10.8984,0,10.8984
"COD1500503",32.7079,0,32.7079
"COD1500602",48.5845,0,48.5845
"COD1500701",0,0,0
"COD1500800",0,0,0
"COD1500859",43.9547,0,43.9547
"COD1500909",0,0,0
"COD1500958",0.3934,0,0.3934
"COD1501006",15.6568,0,15.6568
"COD1501105",0,0,0
"COD1501204",3.1,0,3.1
"COD1501253",5.6237,0,5.6237
"COD1501303",0,0,0
"COD1501402",0,0,0
"COD1501451",8.4907,0,8.4907
"COD1501501",0,0,0
"COD1501576",22.2619,0,22.2619
"COD1501600",0,0,0
"COD1501709",0,0,0
"COD1501725",24.4663,0,24.4663
"COD1501758",3.3154,0,3.3154
"COD1501782",0,0,0
"COD1501808",0,0,0
"COD1501907",0,0,0
"COD1501956",0,0,0
"COD1502004",0,0,0
"COD1502103",0,0,0
"COD1502152",0.0092,0,0.0092
"COD1502202",0,0,0
"COD1502301",0.0131,0,0.0131
"COD1502400",0,0,0
"COD1502509",0,0,0
"COD1502707",0,0,0
"COD1502756",0,0,0
"COD1502764",23.7703,0,23.7703
"COD1502772",0,0,0
"COD1502806",0,0,0
"COD1502855",0,0,0
"COD1502905",0,0,0
"COD1502939",0,0,0
"COD1502954",0.0082,0,0.0082
"COD1503002",73.5631,0,73.5631
"COD1503044",0.0798,0,0.0798
"COD1503077",0.6753,0,0.6753
"COD1503093",0.0325,0,0.0325
"COD1503101",0,0,0
"COD1503200",0,0,0
"COD1503309",0,0,0
"COD1503408",0,0,0
"COD1503457",3.5811,0,3.5811
"COD1503507",0,0,0
