"country","COD","year","health","chagas","hantavirus","cutaneous_leishmaniasis","visceral_leishmaniasis","rickettsia","malaria","zoonotic","n_zoo","fire_related","n_fire","acute","n_acute","chronic","n_chronic","respiratory","n_resp","cardiovascular","n_card","pop","IDH","for_PLAND","for_PD","for_ED","for_AI","savanna_PLAND","notforest_PLAND","FS_PLAND","tot_IT","NOTackn_IT","acknlgd_IT","FS_noIT","habitat_noIT","pm25_SUM","fire_MIN","fire_MAX","fire_MEAN","fire_COUNT","fire_SUM"
"Ecuador","EC060350",2015,81,0,NA,0,0,0,0,0,5,81,13,74,8,7,5,81,10,0,3,19969.787317276,0.765,0.0895,0.1245,0.5224,58.3596,0,33.8034,0.0895,29.0435,29.0435,0,-28.954,4.8494,1110950275.5,0,0,0,172,0
"Ecuador","EC060350",2016,134,0,NA,0,0,0,0,0,5,134,13,131,8,3,5,134,10,0,3,20265.1793937683,0.762,0.1071,0.1505,0.6472,56.1358,0,33.3087,0.1071,29.0435,29.0435,0,-28.9364,4.3723,1146780282.5,0,0,0,172,0
"Ecuador","EC060350",2019,75,0,NA,0,0,0,1,1,5,74,13,65,8,9,5,74,10,0,3,21151.3556232452,0.76,0.0978,0.1297,0.5897,56.3218,0,32.5613,0.0978,29.0435,29.0435,0,-28.9457,3.6156,1135185385,0,0,0,172,0
"Ecuador","EC060650",2015,45,0,NA,0,0,0,0,0,5,45,13,43,8,2,5,45,10,0,3,28965.5243749618,0.765,0.0152,0.0274,0.1016,52.8302,0,38.0995,0.0152,28.9348,28.9348,0,-28.9196,9.1799,2464173767.5,0,0,0,348,0
"Ecuador","EC060650",2016,103,0,NA,0,0,0,0,0,5,103,13,99,8,4,5,103,10,0,3,29393.9809082031,0.762,0.0763,0.0373,0.2639,76.9497,0,38.2119,0.0763,28.9348,28.9348,0,-28.8585,9.3534,2542072901.5,0,0,0,348,0
"Ecuador","EC060650",2019,62,0,NA,0,0,0,0,0,5,62,13,57,8,5,5,62,10,0,3,30679.3505079269,0.76,0.1312,0.0323,0.2765,87.0775,0,38.1573,0.1312,28.9348,28.9348,0,-28.8036,9.3537,2515259521,0,0,0,348,0
"Ecuador","EC110150",2015,1352,0,NA,0,0,0,1,1,5,1351,13,1103,8,248,5,1266,10,85,3,201628.733442306,0.765,25.2058,1.1721,22.567,92.931,0,7.967,25.2058,0,0,0,25.2058,33.1728,1485648954.5,0,0,0,249,0
"Ecuador","EC110150",2016,1440,0,NA,0,0,0,0,0,5,1440,13,1166,8,274,5,1335,10,105,3,204611.215234374,0.762,25.3454,1.1301,22.4119,93.0166,0,8.3542,25.3454,0,0,0,25.3454,33.6996,1524269305.5,0,0,0,249,0
"Ecuador","EC110650",2015,58,0,NA,0,0,0,0,0,5,58,13,51,8,7,5,57,10,1,3,3738.34499263763,0.765,0,0,0,0,0,0.2672,0,23.3299,0,23.3299,-23.3299,-23.0627,602698639.5,0,0,0,104,0
"Ecuador","EC110650",2016,73,0,NA,0,0,0,0,0,5,73,13,71,8,2,5,72,10,1,3,3793.64240303039,0.762,0,0,0,0,0,0.2689,0,23.3299,0,23.3299,-23.3299,-23.061,618155199,0,0,0,104,0
"Ecuador","EC110650",2019,60,0,NA,0,0,0,0,0,5,60,13,58,8,2,5,59,10,1,3,3959.53463420868,0.76,0,0,0,0,0,0.2689,0,23.3299,0,23.3299,-23.3299,-23.061,606211179,0,0,0,104,0
"Ecuador","EC140150",2015,267,0,NA,0,0,0,0,0,5,267,13,210,8,57,5,263,10,4,3,19706.4650878906,0.765,43.1097,1.8681,53.3945,90.0923,0,0,43.1097,26.0584,26.0584,0,17.0513,17.0513,373224875.5,0,0,0,46,0
"Ecuador","EC140150",2016,458,0,NA,3,2,0,0,5,5,453,13,387,8,66,5,450,10,3,3,19997.9621076584,0.762,43.1659,1.7186,52.4126,90.2712,0,0,43.1659,26.0584,26.0584,0,17.1075,17.1075,383818897.5,0,0,0,46,0
"Ecuador","EC140150",2019,243,0,NA,2,0,0,11,13,5,230,13,186,8,44,5,218,10,12,3,20872.4531669616,0.76,45.6999,2.1296,54.2403,90.4597,0,0,45.6999,26.0584,26.0584,0,19.6415,19.6415,380859890,0,0,0,46,0
"Ecuador","EC140250",2015,52,0,NA,0,0,0,4,4,5,48,13,32,8,16,5,47,10,1,3,10333.8169045448,0.765,66.6007,1.2768,65.0002,92.2589,0,0.0313,66.6007,68.1945,0,68.1945,-1.5938,-1.5625,2437793545,0,0,0,339,0
"Ecuador","EC140250",2016,58,0,NA,0,0,0,0,0,5,58,13,26,8,32,5,54,10,4,3,10486.6741813659,0.762,65.7485,1.2637,65.4111,92.1085,0,0.0355,65.7485,68.1945,0,68.1945,-2.446,-2.4105,2504406249.5,0,0,0,339,0
"Ecuador","EC140350",2015,148,0,NA,0,0,0,0,0,5,148,13,117,8,31,5,146,10,2,3,4348.59582066535,0.765,71.1941,0.9441,43.2375,95.0793,0,12.6668,71.1941,29.4154,0,29.4154,41.7787,54.4455,1889305882.5,0,0,0,255,0
